idVotacao;uriVotacao;dataHoraVoto;voto;deputado_id;deputado_uri;deputado_nome;deputado_siglaPartido;deputado_uriPartido;deputado_siglaUf;deputado_idLegislatura;deputado_urlFoto
1713431-105;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-105;2023-05-16T19:00:22;Sim;204501;https://dadosabertos.camara.leg.br/api/v2/deputados/204501;Alencar Santana;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SP;57;https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
1713431-105;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-105;2023-05-16T19:00:22;Não;220574;https://dadosabertos.camara.leg.br/api/v2/deputados/220574;Cabo Gilberto Silva;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;PB;57;https://www.camara.leg.br/internet/deputado/bandep/220574.jpg
1713431-105;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-105;2023-05-16T19:00:22;Não;204572;https://dadosabertos.camara.leg.br/api/v2/deputados/204572;Capitão Alberto Neto;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;AM;57;https://www.camara.leg.br/internet/deputado/bandep/204572.jpg
1713431-105;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-105;2023-05-16T19:00:22;Não;220705;https://dadosabertos.camara.leg.br/api/v2/deputados/220705;Deltan Dallagnol;PODE;https://dadosabertos.camara.leg.br/api/v2/partidos/36896;PR;57;https://www.camara.leg.br/internet/deputado/bandep/220705.jpg
1713431-105;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-105;2023-05-16T19:00:22;Sim;220584;https://dadosabertos.camara.leg.br/api/v2/deputados/220584;Murilo Galdino;REPUBLICANOS;https://dadosabertos.camara.leg.br/api/v2/partidos/37908;PB;57;https://www.camara.leg.br/internet/deputado/bandep/220584.jpg
1713431-105;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-105;2023-05-16T19:00:22;Sim;204534;https://dadosabertos.camara.leg.br/api/v2/deputados/204534;Tabata Amaral;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;SP;57;https://www.camara.leg.br/internet/deputado/bandep/204534.jpg
1713431-120;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-120;2023-05-30T15:21:30;Sim;204501;https://dadosabertos.camara.leg.br/api/v2/deputados/204501;Alencar Santana;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SP;57;https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
1713431-120;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-120;2023-05-30T15:21:30;Não;220705;https://dadosabertos.camara.leg.br/api/v2/deputados/220705;Deltan Dallagnol;PODE;https://dadosabertos.camara.leg.br/api/v2/partidos/36896;PR;57;https://www.camara.leg.br/internet/deputado/bandep/220705.jpg
1713431-120;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-120;2023-05-30T15:21:30;Sim;204534;https://dadosabertos.camara.leg.br/api/v2/deputados/204534;Tabata Amaral;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;SP;57;https://www.camara.leg.br/internet/deputado/bandep/204534.jpg
1713431-125;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-125;2023-05-30T16:38:36;Sim;204501;https://dadosabertos.camara.leg.br/api/v2/deputados/204501;Alencar Santana;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SP;57;https://www.camara.leg.br/internet/deputado/bandep/204501.jpg
1713431-125;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-125;2023-05-30T16:38:36;Não;220574;https://dadosabertos.camara.leg.br/api/v2/deputados/220574;Cabo Gilberto Silva;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;PB;57;https://www.camara.leg.br/internet/deputado/bandep/220574.jpg
1713431-125;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-125;2023-05-30T16:38:36;Não;220705;https://dadosabertos.camara.leg.br/api/v2/deputados/220705;Deltan Dallagnol;PODE;https://dadosabertos.camara.leg.br/api/v2/partidos/36896;PR;57;https://www.camara.leg.br/internet/deputado/bandep/220705.jpg
1713431-125;https://dadosabertos.camara.leg.br/api/v2/votacoes/1713431-125;2023-05-30T16:38:36;Não;220584;https://dadosabertos.camara.leg.br/api/v2/deputados/220584;Murilo Galdino;REPUBLICANOS;https://dadosabertos.camara.leg.br/api/v2/partidos/37908;PB;57;https://www.camara.leg.br/internet/deputado/bandep/220584.jpg
